SNID: 2015F
SURVEY: UVEXT
SNTYPE: 1
IAUC: 2015F
FILTERS: ugriBomn
RA:   114.065670 deg
DECL:   -69.506390 deg 
RA_HOST:   114.099330
DEC_HOST:   -69.530830
REDSHIFT_HELIO: 0.00489 +- 1.8e-05 
REDSHIFT_CMB: 0.005286 +- 1.8e-05 
VPEC: 80.5777 +- 250.0

MWEBV: 0.174900  MW E(B-V)
SEARCH_PEAKMJD: 57105.1
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  294
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 57101.540  CSP-n/x  NULL   360744.7339  1661.2836      13.607   0.005
OBS: 57102.550  CSP-n/x  NULL   396278.0343  1824.9198      13.505   0.005
OBS: 57103.670  CSP-n/x  NULL   432115.6545  1989.9574      13.411   0.005
OBS: 57104.580  CSP-n/x  NULL   434910.6072  4005.6572      13.404   0.010
OBS: 57110.500  CSP-n/x  NULL   483949.4493  3120.1237      13.288   0.007
OBS: 57111.520  CSP-n/x  NULL   468166.1397  3449.5605      13.324   0.008
OBS: 57112.520  CSP-n/x  NULL   471628.4553  2606.3037      13.316   0.006
OBS: 57113.490  CSP-n/x  NULL   449572.7713  3312.5601      13.368   0.008
OBS: 57117.500  CSP-n/x  NULL   378442.5847  2091.3418      13.555   0.006
OBS: 57118.520  CSP-n/x  NULL   348658.2934  2568.9980      13.644   0.008
OBS: 57119.490  CSP-n/x  NULL   330521.7169  2130.9429      13.702   0.007
OBS: 57120.490  CSP-n/x  NULL   305070.3498  2247.8316      13.789   0.008
OBS: 57121.500  CSP-n/x  NULL   286549.7276  1319.6045      13.857   0.005
OBS: 57122.490  CSP-n/x  NULL   270395.8364  2241.3841      13.920   0.009
OBS: 57123.510  CSP-n/x  NULL   251883.6628  1623.9469      13.997   0.007
OBS: 57125.550  CSP-n/x  NULL   225320.1336  1037.6330      14.118   0.005
OBS: 57126.570  CSP-n/x  NULL   210474.7489  969.2678      14.192   0.005
OBS: 57127.490  CSP-n/x  NULL   198975.6811  916.3129      14.253   0.005
OBS: 57129.570  CSP-n/x  NULL   173300.5735  1117.3052      14.403   0.007
OBS: 57130.600  CSP-n/x  NULL   158927.8470  1317.3958      14.497   0.009
OBS: 57131.610  CSP-n/x  NULL   152897.3647  1408.2306      14.539   0.010
OBS: 57134.520  CSP-n/x  NULL   128115.0056  707.9866      14.731   0.006
OBS: 57135.510  CSP-n/x  NULL   118140.8252  1088.1124      14.819   0.010
OBS: 57136.510  CSP-n/x  NULL   112305.2348  827.4919      14.874   0.008
OBS: 57137.510  CSP-n/x  NULL   105002.5872  773.6843      14.947   0.008
OBS: 57138.560  CSP-n/x  NULL    98718.8301      454.6150      15.014   0.005
OBS: 57139.510  CSP-n/x  NULL    94536.6046      783.6394      15.061   0.009
OBS: 57141.560  CSP-n/x  NULL    81357.9506      1049.0636      15.224   0.014
OBS: 57143.560  CSP-n/x  NULL    78415.1541      433.3363      15.264   0.006
OBS: 57146.590  CSP-n/x  NULL    70145.5298      646.0614      15.385   0.010
OBS: 57148.550  CSP-n/x  NULL    66374.3070      489.0618      15.445   0.008
OBS: 57152.560  CSP-n/x  NULL    61602.7358      453.9037      15.526   0.008
OBS: 57154.530  CSP-n/x  NULL    56441.6888      571.8294      15.621   0.011
OBS: 57157.540  CSP-n/x  NULL    53554.9971      591.9091      15.678   0.012
OBS: 57159.540  CSP-n/x  NULL    49750.7921      549.8637      15.758   0.012
OBS: 57161.570  CSP-n/x  NULL    48261.4093      488.9523      15.791   0.011
OBS: 57163.530  CSP-n/x  NULL    47032.7096      346.5483      15.819   0.008
OBS: 57176.450  CSP-n/x  NULL    35448.6744      424.4408      16.126   0.013
OBS: 57178.460  CSP-n/x  NULL    32718.9984      301.3518      16.213   0.010
OBS: 57180.470  CSP-n/x  NULL    32151.4082      325.7365      16.232   0.011
OBS: 57182.470  CSP-n/x  NULL    30902.9543      313.0880      16.275   0.011
END: 
# =============================================
# =============================================
NSPECTRA: 11

SPECTRUM_ID: 11
SPECTRUM_MJD: 57124.55984294
SPECTRUM_NLAM: 5537
SPEC: 1676.772 1678.316 1.627229E-16 9.071642E-17 1
SPEC: 1678.316 1679.861 2.024922E-16 9.407903E-17 1
SPEC: 1679.861 1681.405 8.852710E-17 8.834409E-17 1
