VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

SPEC: 1822.933 1824.478 9.373620E-17 4.706501E-17 1
SPEC: 1824.478 1826.022 -1.002462E-16 4.095625E-17 1
SPEC: 1826.022 1827.566 -5.848905E-17 4.331652E-17 1
SPEC: 1827.566 1829.110 -8.301514E-18 4.317954E-17 1
SPEC: 1829.110 1830.655 6.720529E-17 4.578497E-17 1
SPEC: 1830.655 1832.199 1.082962E-17 4.280280E-17 1
SPEC: 1832.199 1833.743 5.695627E-17 4.492662E-17 1
SPEC: 1833.743 1835.288 1.207495E-16 4.593203E-17 1
SPEC: 1835.288 1836.832 4.158158E-17 4.349009E-17 1
SPEC: 1836.832 1838.376 -3.151395E-17 4.081642E-17 1
SPEC: 1838.376 1839.920 -4.968555E-17 4.086302E-17 1
SPEC: 1839.920 1841.465 4.169778E-17 4.331716E-17 1
SPEC: 1841.465 1843.009 -3.418208E-17 4.005447E-17 1
SPEC: 1843.009 1844.553 -1.235526E-16 3.750688E-17 1
SPEC: 1844.553 1846.097 -3.849087E-17 3.946876E-17 1
SPEC: 1846.097 1847.642 5.340617E-17 4.156189E-17 1
SPEC: 1847.642 1849.186 1.482435E-16 4.388930E-17 1
SPEC: 1849.186 1850.730 8.174409E-17 4.162095E-17 1
SPEC: 1850.730 1852.274 -3.487037E-17 3.911335E-17 1
SPEC: 1852.274 1853.819 -5.626610E-17 3.827842E-17 1
SPEC: 1853.819 1855.363 -2.058210E-17 3.828021E-17 1
SPEC: 1855.363 1856.907 9.296549E-17 4.153485E-17 1
SPEC: 1856.907 1858.452 5.896766E-18 3.831600E-17 1
SPEC: 1858.452 1859.996 -4.374708E-17 3.722974E-17 1
SPEC: 1859.996 1861.540 -3.883809E-18 3.825568E-17 1
SPEC: 1861.540 1863.084 1.120363E-16 4.117301E-17 1
SPEC: 1863.084 1864.629 6.249100E-17 3.882940E-17 1
SPEC: 1864.629 1866.173 -2.791106E-17 3.677301E-17 1
SPEC: 1866.173 1867.717 -1.828497E-17 3.684937E-17 1
SPEC: 1867.717 1869.261 1.646811E-17 3.734074E-17 1
SPEC: 1869.261 1870.806 1.216903E-17 3.701877E-17 1
SPEC: 1870.806 1872.350 1.221483E-17 3.734023E-17 1
SPEC: 1872.350 1873.894 4.053909E-17 3.757630E-17 1
SPEC: 1873.894 1875.439 2.457751E-17 3.671900E-17 1
SPEC: 1875.439 1876.983 2.092790E-17 3.704970E-17 1
SPEC: 1876.983 1878.527 4.041469E-17 3.683747E-17 1
SPEC: 1878.527 1880.071 2.417574E-17 3.604369E-17 1
SPEC: 1880.071 1881.616 7.198890E-17 3.730036E-17 1
SPEC: 1881.616 1883.160 1.147009E-16 3.815181E-17 1
SPEC: 1883.160 1884.704 5.129056E-17 3.611897E-17 1
SPEC: 1884.704 1886.248 3.785298E-17 3.577185E-17 1
SPEC: 1886.248 1887.793 1.315946E-17 3.488361E-17 1
SPEC: 1887.793 1889.337 -5.704612E-17 3.305581E-17 1
SPEC: 1889.337 1890.881 -2.503415E-17 3.395723E-17 1
SPEC: 1890.881 1892.425 4.176508E-17 3.505937E-17 1
SPEC: 1892.425 1893.970 2.095747E-17 3.407892E-17 1
SPEC: 1893.970 1895.514 1.169269E-17 3.449456E-17 1
SPEC: 1895.514 1897.058 4.389036E-17 3.471559E-17 1
